ocel_event_id;ocel_object_id;ocel_qualifier
load_truck_hu13_complete;tr4;TR laded
load_truck_hu9_complete;hu9;HU loaded
load_truck_hu9_complete;cr7;CR laded
load_truck_hu9_complete;tr4;TR laded
drive_term_cr7_start;cr7;CR moved
drive_term_cr7_start;tr4;TR moved
14533_leave_Supplier Loading Area_tr4;tr4;moved_object
14533_leave_Supplier Loading Area_tr4;loc_Supplier_Loading_Area;location
14534_leave_Supplier Loading Area_cr7;cr7;moved_object
14534_leave_Supplier Loading Area_cr7;loc_Supplier_Loading_Area;location
arr_notice_cr7;tr4;TR arrival notice
arr_notice_cr7;cr7;CR arrival notice
14535_enter_Terminal South_tr4;tr4;moved_object
14535_enter_Terminal South_tr4;loc_Terminal_South;location
14536_enter_Terminal South_cr7;cr7;moved_object
14536_enter_Terminal South_cr7;loc_Terminal_South;location
drive_term_cr7_complete;cr7;CR moved
drive_term_cr7_complete;tr4;TR moved
unload_truck_cr7_assign;cr7;CR unload allocated
unload_truck_cr7_assign;tr4;TR unload allocated
unload_truck_cr7_assign;fl2;candidate_object
unload_truck_cr7_assign;fl1;candidate_object
unload_truck_cr7_assign;fl3;candidate_object
unload_truck_cr7_assign;fl2;assigned_object
unload_truck_cr7_assign;loc_Terminal_South;location
14537_leave_Forklift Depot_fl2;fl2;moved_object
14537_leave_Forklift Depot_fl2;loc_Forklift_Depot;location
14538_enter_Terminal South_fl2;fl2;moved_object
14538_enter_Terminal South_fl2;loc_Terminal_South;location
unload_truck_cr7_start;cr7;CR unloaded
unload_truck_cr7_start;tr4;TR unloaded
unload_truck_cr7_start;fl2;FL unloading
unload_truck_cr7_complete;cr7;CR unloaded
unload_truck_cr7_complete;tr4;TR unloaded
unload_truck_cr7_complete;fl2;FL unloading
14539_leave_Terminal South_tr4;tr4;moved_object
14539_leave_Terminal South_tr4;loc_Terminal_South;location
14540_enter_Truck Depot_tr4;tr4;moved_object
14540_enter_Truck Depot_tr4;loc_Truck_Depot;location
weigh_cr7_start;cr7;CR weighted
weigh_cr7_start;fl2;FL weighing
weigh_cr7_complete;cr7;CR weighted
weigh_cr7_complete;fl2;FL weighing
to_bay_cr7_start;cr7;CR brought to bay
to_bay_cr7_start;fl2;FL moved
14541_leave_Terminal South_fl2;fl2;moved_object
14541_leave_Terminal South_fl2;loc_Terminal_South;location
14542_leave_Terminal South_cr7;cr7;moved_object
14542_leave_Terminal South_cr7;loc_Terminal_South;location
14543_enter_Loading Bay_fl2;fl2;moved_object
14543_enter_Loading Bay_fl2;loc_Loading_Bay;location
14544_enter_Loading Bay_cr7;cr7;moved_object
14544_enter_Loading Bay_cr7;loc_Loading_Bay;location
to_bay_cr7_complete;cr7;CR brought to bay
to_bay_cr7_complete;fl2;FL moved
load_veh_cr7_vh1_start;cr7;CR loaded
load_veh_cr7_vh1_start;fl2;FL moved
load_veh_cr7_vh1_start;vh1;VH loaded
load_veh_cr7_vh1_complete;cr7;CR loaded
load_veh_cr7_vh1_complete;fl2;FL moved
load_veh_cr7_vh1_complete;vh1;VH laded
reg_co8;co8;registered CO
create_td4;co4;TD created for CO
create_td4;td4;created TD
book_vehs_td4;td4;VHs booked for TD
book_vehs_td4;vh4;booked VHs
order_crs_td4;td4;ordered for TD
order_crs_td4;cr15;CRs ordered
order_crs_td4;cr16;CRs ordered
order_crs_td4;cr17;CRs ordered
order_crs_td4;cr18;CRs ordered
reg_co9;co9;registered CO
14545_enter_Loading Bay_vh10;vh10;moved_object
14545_enter_Loading Bay_vh10;loc_Loading_Bay;location
pick_cr9_start;cr9;CR picked
pick_cr9_start;tr3;TR moved
14546_leave_Truck Depot_tr3;tr3;moved_object
14546_leave_Truck Depot_tr3;loc_Truck_Depot;location
collect_hu17_complete;hu17;HU collected
pick_cr13_start;cr13;CR picked
pick_cr13_start;tr5;TR moved
14547_leave_Truck Depot_tr5;tr5;moved_object
14547_leave_Truck Depot_tr5;loc_Truck_Depot;location
pick_cr16_start;cr16;CR picked
pick_cr16_start;tr6;TR moved
14548_leave_Truck Depot_tr6;tr6;moved_object
14548_leave_Truck Depot_tr6;loc_Truck_Depot;location
pick_cr12_start;cr12;CR picked
pick_cr12_start;tr4;TR moved
14549_leave_Truck Depot_tr4;tr4;moved_object
14549_leave_Truck Depot_tr4;loc_Truck_Depot;location
14550_enter_Supplier_tr6;tr6;moved_object
14550_enter_Supplier_tr6;loc_Supplier;location
pick_cr16_complete;cr16;CR picked
pick_cr16_complete;tr6;TR moved
14551_leave_Supplier_tr6;tr6;moved_object
14551_leave_Supplier_tr6;loc_Supplier;location
14552_enter_Supplier_tr4;tr4;moved_object
14552_enter_Supplier_tr4;loc_Supplier;location
pick_cr12_complete;cr12;CR picked
pick_cr12_complete;tr4;TR moved
14553_leave_Supplier_tr4;tr4;moved_object
14553_leave_Supplier_tr4;loc_Supplier;location
collect_hu20_complete;hu20;HU collected
14554_enter_Supplier_tr5;tr5;moved_object
14554_enter_Supplier_tr5;loc_Supplier;location
