ocel_source_id;ocel_target_id;ocel_qualifier
cr111;hu463;CR contains HU
cr83;hu481;CR contains HU
cr79;hu473;CR contains HU
cr110;hu486;CR contains HU
cr113;hu487;CR contains HU
cr79;hu471;CR contains HU
cr110;hu483;CR contains HU
cr111;hu462;CR contains HU
cr113;hu488;CR contains HU
cr111;hu459;CR contains HU
cr119;td33;CR for TD
cr120;td33;CR for TD
cr121;td33;CR for TD
cr31;hu469;CR contains HU
cr31;hu468;CR contains HU
cr110;hu484;CR contains HU
cr83;hu480;CR contains HU
cr83;hu476;CR contains HU
cr83;hu477;CR contains HU
cr110;hu485;CR contains HU
cr110;hu482;CR contains HU
cr79;hu472;CR contains HU
cr113;hu489;CR contains HU
cr83;hu479;CR contains HU
cr31;hu465;CR contains HU
cr79;hu474;CR contains HU
tr1;cr114;TR loads CR
tr2;cr109;TR loads CR
tr4;cr85;TR loads CR
tr5;cr72;TR loads CR
cr109;hu505;CR contains HU
cr109;hu507;CR contains HU
cr114;hu499;CR contains HU
tr3;cr118;TR loads CR
cr109;hu502;CR contains HU
cr118;hu520;CR contains HU
cr109;hu506;CR contains HU
tr6;cr106;TR loads CR
cr118;hu522;CR contains HU
cr85;hu497;CR contains HU
cr72;hu510;CR contains HU
cr85;hu495;CR contains HU
cr72;hu512;CR contains HU
cr85;hu498;CR contains HU
cr72;hu509;CR contains HU
cr85;hu494;CR contains HU
cr85;hu496;CR contains HU
cr85;hu493;CR contains HU
cr72;hu508;CR contains HU
cr106;hu516;CR contains HU
cr106;hu514;CR contains HU
cr118;hu521;CR contains HU
cr106;hu519;CR contains HU
cr106;hu515;CR contains HU
cr72;hu513;CR contains HU
cr114;hu501;CR contains HU
cr72;hu511;CR contains HU
cr109;hu503;CR contains HU
cr114;hu500;CR contains HU
cr109;hu504;CR contains HU
tr5;cr101;TR loads CR
tr2;cr77;TR loads CR
cr106;hu517;CR contains HU
cr106;hu518;CR contains HU
tr1;cr103;TR loads CR
cr77;hu534;CR contains HU
cr77;hu533;CR contains HU
cr103;hu538;CR contains HU
cr103;hu540;CR contains HU
cr101;hu526;CR contains HU
cr101;hu524;CR contains HU
cr101;hu528;CR contains HU
cr77;hu530;CR contains HU
cr103;hu539;CR contains HU
cr101;hu525;CR contains HU
cr103;hu537;CR contains HU
cr101;hu523;CR contains HU
cr77;hu532;CR contains HU
cr103;hu535;CR contains HU
cr77;hu529;CR contains HU
cr101;hu527;CR contains HU
cr77;hu531;CR contains HU
cr103;hu536;CR contains HU
tr4;cr124;TR loads CR
tr2;cr100;TR loads CR
cr124;hu541;CR contains HU
tr1;cr123;TR loads CR
cr100;hu545;CR contains HU
cr100;hu547;CR contains HU
cr100;hu544;CR contains HU
cr100;hu546;CR contains HU
cr100;hu542;CR contains HU
cr100;hu543;CR contains HU
tr6;cr95;TR loads CR
co40;td35;TD for CO
cr95;hu555;CR contains HU
cr123;hu550;CR contains HU
cr95;hu554;CR contains HU
cr123;hu551;CR contains HU
cr95;hu559;CR contains HU
cr95;hu558;CR contains HU
cr123;hu548;CR contains HU
cr95;hu556;CR contains HU
cr123;hu549;CR contains HU
cr123;hu553;CR contains HU
cr95;hu557;CR contains HU
co34;td36;TD for CO
td35;vh8;High-Prio VH for TD
td35;vh9;Regular VH for TD
cr123;hu552;CR contains HU
td36;vh11;Regular VH for TD
cr127;td35;CR for TD
cr125;td35;CR for TD
cr126;td35;CR for TD
tr2;cr127;TR loads CR
co41;td37;TD for CO
cr127;hu561;CR contains HU
cr127;hu560;CR contains HU
td37;vh10;High-Prio VH for TD
td37;vh12;Regular VH for TD
cr128;td36;CR for TD
cr129;td36;CR for TD
cr130;td36;CR for TD
tr1;cr126;TR loads CR
tr4;cr102;TR loads CR
tr6;cr89;TR loads CR
tr2;cr86;TR loads CR
cr89;hu565;CR contains HU
cr89;hu566;CR contains HU
cr86;hu569;CR contains HU
